FlightNumber,PayloadMass,Orbit,LaunchSite,Class
105,15600.0,LEO,Kennedy,1
106,6182.381443298969,SSO,Cape Canaveral,1
107,15600.0,LEO,Cape Canaveral,1
108,15600.0,LEO,Cape Canaveral,0
109,15600.0,LEO,Kennedy,1
110,15600.0,LEO,Cape Canaveral,1
111,15600.0,LEO,Kennedy,1
112,15600.0,LEO,Cape Canaveral,1
113,15600.0,LEO,Cape Canaveral,1
114,6182.381443298969,LEO,Kennedy,1
115,15600.0,LEO,Cape Canaveral,1
116,15600.0,LEO,Kennedy,1
117,15600.0,LEO,Cape Canaveral,1
118,15440.0,LEO,Kennedy,1
119,15600.0,LEO,Cape Canaveral,1
120,3328.0,LEO,Kennedy,1
121,7000.0,GTO,Cape Canaveral,1
122,4331.0,MEO,Cape Canaveral,1
123,6182.381443298969,SSO,Cape Canaveral,1
124,6182.381443298969,LEO,Kennedy,1
125,6182.381443298969,LEO,Vandenberg,1
126,6182.381443298969,LEO,Kennedy,1
127,6182.381443298969,LEO,Kennedy,1
128,6182.381443298969,LEO,Cape Canaveral,1
129,624.0,Heliocentric,Vandenberg,1
130,6182.381443298969,LEO,Cape Canaveral,1
131,325.0,LEO,Kennedy,1
132,15600.0,LEO,Vandenberg,1
133,4500.0,GTO,Cape Canaveral,1
134,2989.0,LEO,Kennedy,1
135,6182.381443298969,LEO,Kennedy,1
136,6182.381443298969,SSO,Cape Canaveral,1
137,6182.381443298969,LEO,Kennedy,1
138,2205.0,SSO,Cape Canaveral,1
139,6182.381443298969,SSO,Vandenberg,1
140,6182.381443298969,LEO,Kennedy,1
141,6182.381443298969,LEO,Cape Canaveral,1
142,6182.381443298969,LEO,Vandenberg,1
143,6182.381443298969,LEO,Kennedy,1
144,6182.381443298969,LEO,Cape Canaveral,1
145,6182.381443298969,LEO,Cape Canaveral,1
146,6182.381443298969,SSO,Cape Canaveral,1
147,6182.381443298969,LEO,Kennedy,1
148,6182.381443298969,LEO,Vandenberg,1
149,6182.381443298969,LEO,Cape Canaveral,1
150,6182.381443298969,LEO,Kennedy,1
151,6182.381443298969,LEO,Cape Canaveral,1
152,6182.381443298969,LEO,Kennedy,1
153,6182.381443298969,LEO,Vandenberg,1
154,6182.381443298969,LEO,Cape Canaveral,1
155,6182.381443298969,LEO,Kennedy,1
156,6182.381443298969,SSO,Cape Canaveral,1
157,6182.381443298969,GTO,Cape Canaveral,1
158,6182.381443298969,LEO,Kennedy,1
159,6182.381443298969,SSO,Vandenberg,1
160,6182.381443298969,LEO,Cape Canaveral,1
161,6182.381443298969,GTO,Cape Canaveral,1
162,6182.381443298969,LEO,Cape Canaveral,1
163,6182.381443298969,SSO,Vandenberg,1
164,2668.0,LEO,Kennedy,1
165,6182.381443298969,LEO,Cape Canaveral,1
166,6182.381443298969,SSO,Vandenberg,1
167,6182.381443298969,LEO,Kennedy,1
168,6182.381443298969,BLT,Cape Canaveral,1
169,6182.381443298969,LEO,Kennedy,1
170,6182.381443298969,SSO,Vandenberg,1
171,6182.381443298969,LEO,Cape Canaveral,1
172,6182.381443298969,LEO,Cape Canaveral,1
173,6182.381443298969,SSO,Vandenberg,1
174,6182.381443298969,LEO,Cape Canaveral,1
175,6182.381443298969,LEO,Kennedy,1
176,6182.381443298969,LEO,Cape Canaveral,1
177,6182.381443298969,LEO,Cape Canaveral,1
178,6182.381443298969,LEO,Kennedy,1
179,6182.381443298969,LEO,Vandenberg,1
180,7350.0,GTO,Cape Canaveral,1
181,6182.381443298969,GTO,Cape Canaveral,1
182,6182.381443298969,LEO,Cape Canaveral,1
183,6182.381443298969,LEO,Vandenberg,1
184,6182.381443298969,GTO,Cape Canaveral,1
185,6182.381443298969,GTO,Cape Canaveral,0
186,5500.0,GTO,Cape Canaveral,0
187,3528.0,LEO,Kennedy,1
188,6000.0,Polar,Kennedy,1
189,6182.381443298969,Ballistic lunar transfer (BLT),Cape Canaveral,1
190,6182.381443298969,LEO,Vandenberg,1
191,6182.381443298969,MEO,Cape Canaveral,1
192,6182.381443298969,LEO,Kennedy,1
193,6182.381443298969,LEO,Cape Canaveral,1
194,6182.381443298969,Retrograde,Vandenberg,1
195,6182.381443298969,SSO,Cape Canaveral,1
196,6000.0,Polar,Cape Canaveral,1
197,4352.0,MEO,Cape Canaveral,1
198,15000.0,LEO,Vandenberg,1
199,6182.381443298969,LEO,Cape Canaveral,1
200,6182.381443298969,LEO,Vandenberg,1
201,16500.0,LEO,Kennedy,1
202,4146.0,GTO,Cape Canaveral,1
203,17100.0,LEO,Cape Canaveral,1
204,15900.0,LEO,Vandenberg,1
205,5470.0,GTO,Cape Canaveral,1
206,6182.381443298969,LEO,Cape Canaveral,1
207,6182.381443298969,LEO,Kennedy,1
208,15900.0,LEO,Vandenberg,1
209,6000.0,LEO,Cape Canaveral,1
210,2852.0,LEO,Kennedy,1
211,6182.381443298969,LEO,Vandenberg,1
212,6182.381443298969,GTO,Cape Canaveral,1
213,6182.381443298969,LEO,Cape Canaveral,1
214,6182.381443298969,LEO,Cape Canaveral,1
215,6182.381443298969,LEO,Vandenberg,1
216,6182.381443298969,GTO,Cape Canaveral,1
217,6182.381443298969,SSO,Vandenberg,1
218,6182.381443298969,LEO,Cape Canaveral,1
219,6182.381443298969,SSO,Vandenberg,1
220,6182.381443298969,MEO,Cape Canaveral,1
221,6182.381443298969,LEO,Cape Canaveral,1
222,15900.0,LEO,Vandenberg,1
223,6182.381443298969,LEO,Cape Canaveral,1
224,6182.381443298969,LEO,Cape Canaveral,1
225,6182.381443298969,Polar,Vandenberg,1
226,6182.381443298969,LEO,Kennedy,1
227,6182.381443298969,GTO,Cape Canaveral,1
228,6182.381443298969,LEO,Vandenberg,1
229,6182.381443298969,LEO,Cape Canaveral,1
230,6182.381443298969,LEO,Kennedy,1
231,6182.381443298969,LEO,Cape Canaveral,1
232,6182.381443298969,SSO,Vandenberg,1
233,6182.381443298969,GTO,Cape Canaveral,1
234,6182.381443298969,LEO,Vandenberg,1
235,6182.381443298969,LEO,Cape Canaveral,1
237,6182.381443298969,LEO,Vandenberg,1
238,6182.381443298969,LEO,Cape Canaveral,1
239,6182.381443298969,LEO,Cape Canaveral,1
240,6182.381443298969,LEO,Vandenberg,1
241,6182.381443298969,LEO,Cape Canaveral,1
242,6182.381443298969,LEO,Cape Canaveral,1
243,6182.381443298969,GTO,Cape Canaveral,1
244,6182.381443298969,LEO,Cape Canaveral,1
245,6182.381443298969,LEO,Vandenberg,1
246,6182.381443298969,LEO,Cape Canaveral,1
247,6182.381443298969,LEO,Cape Canaveral,1
248,6182.381443298969,LEO,Vandenberg,1
249,6182.381443298969,LEO,Kennedy,1
250,6182.381443298969,LEO,Cape Canaveral,1
251,6182.381443298969,LEO,Cape Canaveral,1
252,6182.381443298969,LEO,Vandenberg,1
253,6182.381443298969,LEO,Kennedy,1
254,6182.381443298969,LEO,Cape Canaveral,1
255,6182.381443298969,LEO,Vandenberg,1
256,6182.381443298969,LEO,Cape Canaveral,1
257,6182.381443298969,LEO,Cape Canaveral,1
258,6182.381443298969,LEO,Cape Canaveral,1
259,6182.381443298969,LEO,Vandenberg,1
260,6182.381443298969,LEO,Cape Canaveral,1
261,6182.381443298969,LEO,Cape Canaveral,1
262,6182.381443298969,LEO,Vandenberg,1
263,6182.381443298969,LEO,Cape Canaveral,1
264,6182.381443298969,LEO,Cape Canaveral,1
265,6182.381443298969,LEO,Vandenberg,1
266,6182.381443298969,LEO,Cape Canaveral,1
267,6182.381443298969,LEO,Vandenberg,1
268,6182.381443298969,LEO,Cape Canaveral,1
269,6182.381443298969,LEO,Cape Canaveral,1
270,6182.381443298969,LEO,Cape Canaveral,1
271,6182.381443298969,LEO,Kennedy,1
272,6182.381443298969,SSO,Vandenberg,1
273,6182.381443298969,MEO,Cape Canaveral,1
274,6182.381443298969,LEO,Cape Canaveral,1
275,6182.381443298969,LEO,Vandenberg,1
276,6182.381443298969,LEO,Cape Canaveral,1
277,6182.381443298969,LEO,Cape Canaveral,1
278,6182.381443298969,SSO,Vandenberg,1
279,6182.381443298969,LEO,Cape Canaveral,1
280,6182.381443298969,LEO,Cape Canaveral,1
281,6182.381443298969,LEO,Vandenberg,1
282,6182.381443298969,LEO,Cape Canaveral,1
283,6182.381443298969,LEO,Cape Canaveral,0
284,6182.381443298969,SSO,Vandenberg,1
285,6182.381443298969,LEO,Cape Canaveral,1
286,6182.381443298969,LEO,Vandenberg,1
287,1800.0,GTO,Cape Canaveral,1
288,6182.381443298969,LEO,Cape Canaveral,1
289,6182.381443298969,LEO,Vandenberg,1
290,6182.381443298969,LEO,Cape Canaveral,1
291,6182.381443298969,LEO,Kennedy,1
292,6182.381443298969,LEO,Vandenberg,1
293,6182.381443298969,LEO,Kennedy,1
294,6182.381443298969,LEO,Vandenberg,1
295,3726.0,LEO,Cape Canaveral,1
296,1694.0,SSO,Cape Canaveral,1
297,6182.381443298969,LEO,Vandenberg,1
298,6182.381443298969,LEO,Cape Canaveral,1
299,1931.0,TLI,Kennedy,1
300,6182.381443298969,LEO,Vandenberg,1
301,4000.0,GTO,Cape Canaveral,1
302,6182.381443298969,LEO,Vandenberg,1
303,6182.381443298969,LEO,Cape Canaveral,1
304,6182.381443298969,LEO,Cape Canaveral,1
305,6182.381443298969,LEO,Kennedy,1
306,6182.381443298969,SSO,Vandenberg,1
307,6182.381443298969,LEO,Cape Canaveral,1
308,6182.381443298969,LEO,Cape Canaveral,1
309,6182.381443298969,LEO,Vandenberg,1
310,6182.381443298969,LEO,Kennedy,1
311,6182.381443298969,LEO,Vandenberg,1
312,2721.0,LEO,Cape Canaveral,1
313,6182.381443298969,LEO,Kennedy,1
314,6182.381443298969,LEO,Cape Canaveral,1
315,5000.0,GTO,Kennedy,1
316,6182.381443298969,LEO,Cape Canaveral,1
317,6182.381443298969,LEO,Vandenberg,1
318,6182.381443298969,LEO,Cape Canaveral,1
319,6182.381443298969,LEO,Vandenberg,1
320,6182.381443298969,LEO,Kennedy,1
321,6182.381443298969,LEO,Cape Canaveral,1
322,1200.0,SSO,Vandenberg,1
323,6182.381443298969,LEO,Cape Canaveral,1
324,6182.381443298969,LEO,Kennedy,1
325,6182.381443298969,LEO,Cape Canaveral,1
326,6182.381443298969,LEO,Cape Canaveral,1
327,1600.0,MEO,Kennedy,0
328,6182.381443298969,LEO,Cape Canaveral,1
329,1500.0,SSO,Vandenberg,1
330,6182.381443298969,LEO,Cape Canaveral,1
331,6182.381443298969,LEO,Cape Canaveral,1
332,6182.381443298969,LEO,Kennedy,1
333,6182.381443298969,LEO,Vandenberg,1
334,6182.381443298969,LEO,Cape Canaveral,1
335,6182.381443298969,LEO,Vandenberg,1
336,6182.381443298969,LEO,Cape Canaveral,1
337,6182.381443298969,SSO,Vandenberg,1
338,6182.381443298969,LEO,Cape Canaveral,1
339,6182.381443298969,LEO,Kennedy,1
340,6182.381443298969,LEO,Cape Canaveral,1
341,2350.0,SSO,Vandenberg,1
342,6182.381443298969,LEO,Cape Canaveral,1
343,6182.381443298969,LEO,Cape Canaveral,1
344,6182.381443298969,LEO,Cape Canaveral,1
345,6182.381443298969,LEO,Vandenberg,1
346,6182.381443298969,LEO,Vandenberg,1
347,5000.0,GTO,Cape Canaveral,1
348,6182.381443298969,LEO,Cape Canaveral,1
349,6182.381443298969,LEO,Vandenberg,1
350,6182.381443298969,LEO,Cape Canaveral,1
351,6182.381443298969,SSO,Vandenberg,1
352,6182.381443298969,LEO,Cape Canaveral,1
353,4250.0,GTO,Cape Canaveral,1
354,6182.381443298969,LEO,Vandenberg,1
355,6182.381443298969,LEO,Kennedy,1
356,6182.381443298969,LEO,Cape Canaveral,1
357,6182.381443298969,LEO,Vandenberg,1
358,6182.381443298969,LEO,Kennedy,1
359,6182.381443298969,LEO,Vandenberg,1
360,3857.0,LEO,Cape Canaveral,1
361,6182.381443298969,LEO,Cape Canaveral,1
362,6182.381443298969,Molniya,Vandenberg,1
363,6182.381443298969,LEO,Kennedy,1
364,1500.0,LEO,Cape Canaveral,1
365,6182.381443298969,SSO,Vandenberg,1
366,6182.381443298969,LEO,Cape Canaveral,1
367,6182.381443298969,LEO,Cape Canaveral,0
368,6182.381443298969,LEO,Cape Canaveral,1
369,6182.381443298969,LEO,Vandenberg,1
370,6182.381443298969,LEO,Cape Canaveral,1
371,6182.381443298969,LEO,Vandenberg,1
372,6182.381443298969,LEO,Kennedy,1
373,7500.0,LEO,Cape Canaveral,1
374,6182.381443298969,LEO,Vandenberg,1
375,1600.0,MEO,Cape Canaveral,1
376,6182.381443298969,LEO,Vandenberg,1
377,6182.381443298969,LEO,Vandenberg,1
378,6182.381443298969,LEO,Cape Canaveral,1
379,1108.0,Heliocentric,Cape Canaveral,0
380,6182.381443298969,LEO,Cape Canaveral,1
381,6182.381443298969,LEO,Vandenberg,1
382,6182.381443298969,LEO,Cape Canaveral,1
383,2954.0,Polar,Vandenberg,1
384,6182.381443298969,LEO,Cape Canaveral,1
385,6182.381443298969,LEO,Vandenberg,1
386,6182.381443298969,LEO,Cape Canaveral,1
387,6182.381443298969,LEO,Vandenberg,1
388,6182.381443298969,LEO,Cape Canaveral,1
389,2762.0,LEO,Kennedy,1
390,6182.381443298969,LEO,Cape Canaveral,1
391,6182.381443298969,LEO,Vandenberg,1
392,3500.0,GTO,Kennedy,1
393,6182.381443298969,LEO,Cape Canaveral,1
394,6182.381443298969,LEO,Vandenberg,1
395,6182.381443298969,LEO,Cape Canaveral,1
396,6182.381443298969,GTO,Kennedy,1
397,6182.381443298969,LEO,Vandenberg,1
398,4700.0,GTO,Cape Canaveral,1
399,6182.381443298969,LEO,Cape Canaveral,1
400,6182.381443298969,LEO,Vandenberg,1
401,6182.381443298969,LEO,Cape Canaveral,1
402,6182.381443298969,LEO,Kennedy,1
403,6182.381443298969,LEO,Cape Canaveral,1
404,6182.381443298969,LEO,Vandenberg,1
405,6182.381443298969,LEO,Cape Canaveral,1
406,6182.381443298969,LEO,Vandenberg,1
407,7000.0,GTO,Kennedy,1
408,6182.381443298969,LEO,Cape Canaveral,1
409,6182.381443298969,LEO,Vandenberg,1
410,6182.381443298969,MEO,Cape Canaveral,1
411,6182.381443298969,LEO,Vandenberg,1
412,3400.0,MEO,Kennedy,1
413,800.0,LEO,Vandenberg,1
414,6182.381443298969,LEO,Kennedy,1
415,6182.381443298969,LEO,Vandenberg,1
416,1600.0,GTO,Cape Canaveral,1
417,6182.381443298969,LEO,Kennedy,1
418,5000.0,GTO,Cape Canaveral,1
419,6182.381443298969,LEO,Cape Canaveral,1
420,6182.381443298969,LEO,Kennedy,1
421,6182.381443298969,LEO,Vandenberg,1
422,6182.381443298969,LEO,Cape Canaveral,1
423,6182.381443298969,LEO,Cape Canaveral,1
424,2000.0,SSO,Vandenberg,1
425,2517.0,TLI,Kennedy,1
426,6182.381443298969,LEO,Kennedy,1
427,6182.381443298969,LEO,Vandenberg,1
428,6182.381443298969,LEO,Vandenberg,1
429,6182.381443298969,LEO,Cape Canaveral,1
430,6100.0,GTO,Kennedy,0
431,6182.381443298969,LEO,Vandenberg,1
432,6182.381443298969,LEO,Cape Canaveral,1
433,1500.0,LEO,Kennedy,1
434,6182.381443298969,LEO,Cape Canaveral,1
435,6182.381443298969,LEO,Vandenberg,1
436,6182.381443298969,LEO,Cape Canaveral,1
437,6182.381443298969,LEO,Cape Canaveral,1
438,6182.381443298969,LEO,Cape Canaveral,1
439,6182.381443298969,LEO,Cape Canaveral,1
440,6182.381443298969,LEO,Vandenberg,1
441,6182.381443298969,TLI,Kennedy,1
442,6182.381443298969,LEO,Cape Canaveral,1
443,6182.381443298969,LEO,Cape Canaveral,0
444,758.0,SSO,Vandenberg,1
445,6182.381443298969,LEO,Cape Canaveral,1
446,6182.381443298969,LEO,Kennedy,1
447,6182.381443298969,SSO,Vandenberg,1
448,6182.381443298969,LEO,Cape Canaveral,1
449,6182.381443298969,LEO,Cape Canaveral,1
450,6182.381443298969,LEO,Vandenberg,1
451,6182.381443298969,LEO,Cape Canaveral,1
452,6182.381443298969,LEO,Vandenberg,1
453,6182.381443298969,LEO,Cape Canaveral,1
454,6182.381443298969,Polar,Kennedy,1
455,6182.381443298969,LEO,Vandenberg,1
456,6182.381443298969,LEO,Cape Canaveral,1
457,6182.381443298969,LEO,Vandenberg,1
458,6182.381443298969,LEO,Vandenberg,1
459,6182.381443298969,LEO,Kennedy,1
460,6182.381443298969,LEO,Cape Canaveral,1
461,6182.381443298969,LEO,Vandenberg,1
462,3021.0,LEO,Kennedy,1
463,6182.381443298969,LEO,Cape Canaveral,1
464,6182.381443298969,LEO,Cape Canaveral,1
465,6182.381443298969,LEO,Cape Canaveral,1
466,6182.381443298969,LEO,Vandenberg,1
467,6182.381443298969,LEO,Kennedy,1
468,6182.381443298969,LEO,Cape Canaveral,1
469,6182.381443298969,LEO,Kennedy,1
470,6182.381443298969,LEO,Cape Canaveral,1
471,6182.381443298969,LEO,Vandenberg,1
472,6182.381443298969,LEO,Cape Canaveral,1
473,6182.381443298969,LEO,Vandenberg,1
474,6182.381443298969,LEO,Kennedy,1
475,6182.381443298969,LEO,Cape Canaveral,1
476,6182.381443298969,LEO,Vandenberg,1
477,6182.381443298969,LEO,Cape Canaveral,1
478,6182.381443298969,LEO,Vandenberg,1
479,6182.381443298969,LEO,Cape Canaveral,1
480,6182.381443298969,SSO,Vandenberg,1
481,6182.381443298969,LEO,Kennedy,1
482,4350.0,MEO,Cape Canaveral,1
483,6182.381443298969,LEO,Vandenberg,1
484,6182.381443298969,LEO,Cape Canaveral,1
485,6182.381443298969,LEO,Vandenberg,1
486,6400.0,GTO,Cape Canaveral,1
487,6182.381443298969,LEO,Vandenberg,1
488,6182.381443298969,LEO,Cape Canaveral,1
489,6182.381443298969,LEO,Vandenberg,1
490,6182.381443298969,LEO,Cape Canaveral,1
491,6182.381443298969,LEO,Vandenberg,1
492,6182.381443298969,LEO,Cape Canaveral,1
493,6182.381443298969,LEO,Cape Canaveral,1
494,6182.381443298969,SSO,Vandenberg,1
495,6182.381443298969,LEO,Kennedy,1
496,6182.381443298969,LEO,Cape Canaveral,1
497,6182.381443298969,LEO,Cape Canaveral,1
498,6182.381443298969,LEO,Vandenberg,1
499,3800.0,GTO,Kennedy,1
500,6182.381443298969,LEO,Cape Canaveral,1
501,6182.381443298969,LEO,Cape Canaveral,1
502,4000.0,GTO,Cape Canaveral,1
503,6182.381443298969,LEO,Vandenberg,1
504,6182.381443298969,LEO,Cape Canaveral,1
505,6182.381443298969,SSO,Vandenberg,1
506,3400.0,MEO,Cape Canaveral,1
507,6182.381443298969,SSO,Vandenberg,1
508,6182.381443298969,LEO,Cape Canaveral,1
509,6182.381443298969,SSO,Vandenberg,1
510,6182.381443298969,LEO,Cape Canaveral,1
511,6182.381443298969,SSO,Vandenberg,1
512,6182.381443298969,LEO,Kennedy,1
513,6182.381443298969,LEO,Cape Canaveral,1
514,6182.381443298969,LEO,Cape Canaveral,1
515,6182.381443298969,SSO,Vandenberg,1
516,6182.381443298969,LEO,Cape Canaveral,1
517,6182.381443298969,SSO,Vandenberg,1
518,6182.381443298969,LEO,Kennedy,1
519,6182.381443298969,SSO,Vandenberg,1
520,2300.0,LEO,Cape Canaveral,1
521,6182.381443298969,SSO,Vandenberg,1
522,6182.381443298969,LEO,Cape Canaveral,1
523,6182.381443298969,LEO,Kennedy,1
524,6182.381443298969,SSO,Vandenberg,1
525,6182.381443298969,LEO,Cape Canaveral,1
526,6182.381443298969,SSO,Vandenberg,1
527,6182.381443298969,LEO,Cape Canaveral,1
528,6182.381443298969,LEO,Kennedy,1
529,6182.381443298969,SSO,Vandenberg,1
530,6182.381443298969,Polar,Vandenberg,1
531,6182.381443298969,GTO,Cape Canaveral,1
532,6182.381443298969,SSO,Vandenberg,1
533,5000.0,LEO,Cape Canaveral,1
534,6182.381443298969,LEO,Cape Canaveral,1
535,6182.381443298969,SSO,Vandenberg,1
536,6182.381443298969,LEO,Cape Canaveral,1
537,6182.381443298969,LEO,Vandenberg,1
539,6182.381443298969,LEO,Cape Canaveral,1
540,6182.381443298969,SSO,Vandenberg,1
541,6182.381443298969,LEO,Vandenberg,1
542,6182.381443298969,LEO,Vandenberg,1
543,6182.381443298969,LEO,Cape Canaveral,1
544,6182.381443298969,LEO,Vandenberg,1
545,6182.381443298969,LEO,Cape Canaveral,1
546,6182.381443298969,Polar,Vandenberg,1
547,6182.381443298969,LEO,Cape Canaveral,1
548,6182.381443298969,LEO,Cape Canaveral,1
549,6182.381443298969,LEO,Vandenberg,1
550,6182.381443298969,LEO,Vandenberg,1
551,6100.0,GTO,Cape Canaveral,0
552,6182.381443298969,LEO,Vandenberg,1
553,6182.381443298969,LEO,Cape Canaveral,1
554,6182.381443298969,LEO,Vandenberg,1
555,6182.381443298969,LEO,Cape Canaveral,1
556,6182.381443298969,LEO,Vandenberg,1
557,6182.381443298969,LEO,Cape Canaveral,1
558,6182.381443298969,LEO,Cape Canaveral,1
559,6182.381443298969,LEO,Vandenberg,1
560,6182.381443298969,LEO,Kennedy,1
561,6182.381443298969,LEO,Cape Canaveral,1
562,6182.381443298969,LEO,Kennedy,1
563,6182.381443298969,LEO,Cape Canaveral,1
564,1440.0,LEO,Vandenberg,1
565,6182.381443298969,LEO,Cape Canaveral,1
566,6182.381443298969,LEO,Kennedy,1
567,6182.381443298969,LEO,Cape Canaveral,1
568,6182.381443298969,LEO,Vandenberg,1
569,6182.381443298969,SSO,Vandenberg,1
570,6182.381443298969,LEO,Kennedy,1
571,6182.381443298969,LEO,Vandenberg,1
572,6182.381443298969,LEO,Cape Canaveral,1
573,6182.381443298969,LEO,Vandenberg,1
574,6182.381443298969,LEO,Vandenberg,1
575,6182.381443298969,LEO,Kennedy,1
576,6182.381443298969,LEO,Cape Canaveral,1
577,6182.381443298969,LEO,Vandenberg,1
578,6182.381443298969,LEO,Cape Canaveral,1
579,6182.381443298969,LEO,Vandenberg,1
580,6182.381443298969,LEO,Cape Canaveral,1
581,6182.381443298969,LEO,Kennedy,1
582,6182.381443298969,LEO,Vandenberg,1
583,2230.0,SSO,Vandenberg,1
584,6182.381443298969,LEO,Cape Canaveral,1
585,6182.381443298969,LEO,Cape Canaveral,1
586,325.0,SSO,Vandenberg,1
587,6182.381443298969,LEO,Cape Canaveral,1
588,6182.381443298969,LEO,Cape Canaveral,1
589,6182.381443298969,LEO,Vandenberg,1
590,6182.381443298969,LEO,Cape Canaveral,1
591,6182.381443298969,SSO,Vandenberg,1
592,6182.381443298969,SSO,Vandenberg,1
593,4350.0,MEO,Cape Canaveral,1
594,6182.381443298969,SSO,Vandenberg,1
595,6182.381443298969,LEO,Cape Canaveral,1
596,6182.381443298969,SSO,Vandenberg,1
597,6182.381443298969,SSO,Vandenberg,1
598,6182.381443298969,SSO,Vandenberg,1
599,6182.381443298969,LEO,Cape Canaveral,1
600,6182.381443298969,SSO,Vandenberg,1
601,6182.381443298969,LEO,Cape Canaveral,1
602,6182.381443298969,LEO,Cape Canaveral,1
603,6182.381443298969,SSO,Vandenberg,1
604,6182.381443298969,LEO,Cape Canaveral,1
605,6182.381443298969,LEO,Cape Canaveral,1
606,6182.381443298969,SSO,Vandenberg,1
607,6182.381443298969,LEO,Cape Canaveral,1
608,6182.381443298969,SSO,Vandenberg,1
609,6182.381443298969,LEO,Cape Canaveral,1
610,6182.381443298969,LEO,Cape Canaveral,1
611,6182.381443298969,SSO,Vandenberg,1
612,6800.0,GTO,Cape Canaveral,1
613,6182.381443298969,SSO,Vandenberg,1
614,6182.381443298969,LEO,Cape Canaveral,1
615,6182.381443298969,SSO,Vandenberg,1
